user_id,n_questions_answered,avg_labels_per_question,top_labels
68,41,2.3902439024390243,Describing (9); Referring to past actions and events (7); Referring to entities (5)
81,41,2.4878048780487805,Referring to entities (13); Asking for information (7); Describing (6)
87,41,3.048780487804878,Referring to entities (9); Describing (9); Referring to past actions and events (7)
61,41,1.6585365853658536,Referring to entities (10); Asking for information (6); Referring to future actions and events (6)
74,41,1.9268292682926829,Asking for information (11); Expressing quantity (7); Referring to entities (6)
63,41,1.4878048780487805,Expressing negation (14); Referring to entities (4); Referring to future actions and events (4)
75,41,1.7317073170731707,Describing (11); Referring to entities (6); Expressing negation (6)
64,41,1.7804878048780488,Expressing negation (15); Referring to entities (5); Expressing obligation or necessity (5)
55,41,2.5853658536585367,Describing (13); Making statements (9); Referring to entities (8)
60,41,1.2682926829268293,Referring to entities (8); Asking for information (6); Referring to future actions and events (6)
67,41,2.1463414634146343,Referring to entities (9); Describing (9); Referring to past actions and events (7)
69,41,1.7560975609756098,Asking for information (11); Expressing quantity (6); Reporting information (5)
65,41,2.1219512195121952,Expressing negation (9); Expressing obligation or necessity (7); Asking for information (4)
54,41,2.073170731707317,Describing (12); Referring to entities (7); Expressing negation (6)
58,41,1.9268292682926829,Referring to entities (12); Describing (6); Expressing degree (6)
56,41,2.1707317073170733,Describing (14); Referring to entities (13); Making statements (9)
57,41,2.8292682926829267,Referring to entities (17); Describing (8); Situating entities in space (7)
