label,agreement_rate,selection_rate,times_selected
Expressing Beliefs and Opinions,1.0,0.005738880918220947,4
"Describing, Expressing degree",1.0,0.005738880918220947,4
"Expressing quantity, Expressing negation",1.0,0.00860832137733142,6
"Referring to present states, events and facts",1.0,0.03299856527977044,23
Specifying,1.0,0.00860832137733142,6
"Referring to the acting or experiencing entity, Asking for information",1.0,0.0028694404591104736,2
Expressing contrast,1.0,0.0028694404591104736,2
Expressing cause,0.9985652797704447,0.007173601147776184,5
Referring to additional or alternative entities,0.9985652797704447,0.005738880918220947,4
Characterizing persons,0.9971305595408895,0.0014347202295552368,1
"Asking for information, Referring to additional or alternative entities",0.9971305595408895,0.0014347202295552368,1
Referring to self-directed actions,0.9971305595408895,0.007173601147776184,5
stating habits,0.9956958393113343,0.0014347202295552368,1
providing alternatives,0.9956958393113343,0.0014347202295552368,1
indicating future actions,0.9956958393113343,0.0014347202295552368,1
Expressing probability,0.9956958393113343,0.015781922525107604,11
expressing wishes,0.9956958393113343,0.0014347202295552368,1
referring to something unspecific,0.9956958393113343,0.0014347202295552368,1
Expressing degree,0.994261119081779,0.035868005738880916,25
Expressing possession,0.994261119081779,0.028694404591104734,20
Expressing hypotheses or inferences,0.994261119081779,0.014347202295552367,10
Expressing indefiniteness,0.994261119081779,0.0028694404591104736,2
Asking for advice,0.994261119081779,0.007173601147776184,5
Asking for confirmation,0.994261119081779,0.014347202295552367,10
Referring to future actions and events,0.9928263988522238,0.06169296987087518,43
Referring to past actions and events,0.9928263988522238,0.04160688665710186,29
Making offers and invitations,0.9913916786226685,0.01291248206599713,9
Expressing condition,0.9913916786226685,0.015781922525107604,11
Expressing frequency,0.9913916786226685,0.020086083213773313,14
Referring to impersonal events,0.9913916786226685,0.015781922525107604,11
Expressing wishes,0.9899569583931134,0.00860832137733142,6
Comparing within a set,0.9885222381635581,0.027259684361549498,19
Expressing preference,0.9885222381635581,0.02295552367288379,16
Situating entities in space,0.9885222381635581,0.03012912482065997,21
Situating events or entities,0.9870875179340028,0.021520803443328552,15
Sequencing events,0.9870875179340028,0.01291248206599713,9
Expressing obligation or necessity,0.9870875179340028,0.027259684361549498,19
Conveying meaning & exchanging information,0.9870875179340028,0.00430416068866571,3
Asking for information,0.9870875179340028,0.11190817790530846,78
Expressing manner,0.9870875179340028,0.011477761836441894,8
Comparing,0.9856527977044476,0.027259684361549498,19
"Referring to actions, states or relations",0.9856527977044476,0.00860832137733142,6
Expressing progression,0.9856527977044476,0.024390243902439025,17
Giving advice,0.9856527977044476,0.015781922525107604,11
Referring to past events with present relevance,0.9856527977044476,0.02295552367288379,16
Pointing to entities,0.9856527977044476,0.028694404591104734,20
Framing or linking information,0.9856527977044476,0.03012912482065997,21
Expressing beliefs and opinions,0.9856527977044476,0.010043041606886656,7
Expressing evaluation,0.9842180774748924,0.01721664275466284,12
Expressing politeness,0.9842180774748924,0.020086083213773313,14
Expressing certainty,0.9842180774748924,0.01721664275466284,12
Referring to present states events and facts,0.9842180774748924,0.01721664275466284,12
Giving directions or instructions,0.9813486370157819,0.024390243902439025,17
Expressing possibility,0.9813486370157819,0.015781922525107604,11
Expressing quantity,0.9813486370157819,0.06456241032998565,45
Referring to self,0.9784791965566715,0.01291248206599713,9
Requesting,0.9784791965566715,0.021520803443328552,15
Expressing ability,0.9784791965566715,0.02295552367288379,16
Situating events in time,0.9770444763271162,0.03299856527977044,23
Referring to the acting or experiencing entity,0.975609756097561,0.03299856527977044,23
Referring to third-person subjects,0.975609756097561,0.021520803443328552,15
Emphasizing the affected entity,0.975609756097561,0.01291248206599713,9
Referring back to entities,0.975609756097561,0.02295552367288379,16
Making suggestions,0.9727403156384505,0.024390243902439025,17
Reporting information,0.9727403156384505,0.027259684361549498,19
Expressing negation,0.9670014347202296,0.1133428981348637,79
Referring to the affected entity,0.9670014347202296,0.02582496413199426,18
Conveying meaning,0.9641319942611191,0.027259684361549498,19
Specifying information,0.9626972740315638,0.028694404591104734,20
Providing detail,0.9626972740315638,0.03156384505021521,22
Describing,0.9512195121951219,0.16642754662840745,116
"Referring to actions, events or states",0.9512195121951219,0.05595408895265423,39
Making statements,0.9440459110473458,0.06599713055954089,46
Referring to entities,0.9024390243902439,0.20086083213773315,140
